X,Y,OBJECTID,NAME,NBR,STREETADDR,CITY,ZIP,TYPE,GCSCORE,GCMETHOD,DAFID,POINT_X,POINT_Y
413409.3239,4586415.898,2321,APPLE CREEK BULK FOOD CO,,875 N MAIN,WILLARD,84340,Grocery Store,90.91999817,AddressPoints.AddressGrid,R100050,413409.3239,4586415.898
437785.5446,4466987.676,2322,DOLLAR TREE,5036,643 W 700 N,LINDON,84042,Convenience Grocery,100,AddressPoints.AddressGrid,R100184,437785.5446,4466987.676
424090.2715,4512611.227,2323,379 SOUTH CORNER MARKET LLC,,379 S 300 W,SALT LAKE CITY,84101,Convenience Grocery,100,AddressPoints.AddressGrid,R100188,424090.2715,4512611.227
418394.22,4563742.895,2324,MAKING SCENTS,,290 25TH ST STE 103,OGDEN,84401,Retail,100,AddressPoints.AddressGrid,R100214,418394.22,4563742.895
464709.3797,4482620.267,2325,GNC,1722,1268 S HIGHWAY 189,HEBER CITY,84032,Health Food,100,AddressPoints.AddressGrid,R100321,464709.3797,4482620.267
424599.9949,4489176.113,2326,REJUVIUM CORPORATION,,11075 S STATE STE 33,SANDY,84070,Convenience Grocery,90.91999817,AddressPoints.AddressGrid,R100330,424599.9949,4489176.113
426321.4363,4512467.843,2327,TRADER JOE`S COMPANY,,634 E 400 S,SALT LAKE CITY,84101,Grocery Store,100,AddressPoints.AddressGrid,R100331,426321.4363,4512467.843
426863.4597,4502910.077,2328,WALGREENS,15289,4515 S 900 E,SALT LAKE CITY,84117,Convenience Grocery,100,Centerlines.StatewideRoads,R100360,426863.4597,4502910.077
417888,4547908,2329,GREEN TEA COMPANY,,1076 LAYTON HILLS MALL,LAYTON,84041,Health Food,,Manually Placed,R100750,417888,4547908
323477.5833,4118817.585,2330,CANYON MARKET,,95 ZION PARK BLVD,SPRINGDALE,84767,Grocery Store,100,AddressPoints.AddressGrid,R100815,323477.5833,4118817.585
422663.6866,4513684.149,2331,FAMILY DOLLAR INC,29401,50 N 900 W,SALT LAKE CITY,84116,Convenience Grocery,100,AddressPoints.AddressGrid,R100954,422663.6866,4513684.149
417409.85,4490693.77,2332,WAL-MART STORE,5763,3590 W S JORDAN PKWY,SOUTH JORDAN,84095,Supermarket,100,AddressPoints.AddressGrid,R101090,417409.85,4490693.77
428992.9158,4502153.34,2333,DOLLAR TREE,5129,4716 S HIGHLAND DR,SALT LAKE CITY,84106,Convenience Grocery,100,AddressPoints.AddressGrid,R101265,428992.9158,4502153.34
432020.9058,4477569.436,2334,ALPINE FOOD STORAGE LLC,,11800 N 6000 W,HIGHLAND,84003,Retail,100,AddressPoints.AddressGrid,R101283,432020.9058,4477569.436
424621.6229,4508557.519,2335,FIDELGOMEZ,,2163 S RICHARD ST,SALT LAKE CITY,84115,Retail,98.5,AddressPoints.AddressGrid,R101815,424621.6229,4508557.518
524719,4147439,2336,LAKE POWELL,,MARINA,HALLS CROSSING,84533,Convenience Grocery,,Manually Placed,R10187,524719,4147439
421665.2065,4505760.844,2337,VILLAGE FOOD MART,,1238 W VILLAGE MAIN DR STE B,WEST VALLEY CITY,84119,Convenience Grocery,100,AddressPoints.AddressGrid,R102167,421665.2065,4505760.844
414982.105,4505445.286,2338,PACIFIC FOOD INC,,3550 S 4800 W STE 0,WEST VALLEY CITY,84120,Grocery Store,100,AddressPoints.AddressGrid,R102313,414982.105,4505445.286
423461.2909,4521476.287,2339,CENTER OF HOPE FOOD PANTRY,,74 S ORCHARD DR,NORTH SALT LAKE,84054,Salvage Grocery,100,Centerlines.StatewideRoads,R102855,423461.2909,4521476.287
425018.4101,4509344.327,2340,QADERI SWEETZ N SPICEZ,,1785 S STATE ST,SALT LAKE CITY,84115,Specialty Grocery,100,AddressPoints.AddressGrid,R102961,425018.4101,4509344.327
318107.2953,4173926.724,2341,FAMILY DOLLAR INC,30148,1033 N MAIN ST,CEDAR CITY,84721,Convenience Grocery,100,AddressPoints.AddressGrid,R103073,318107.2953,4173926.724
443079.1914,4543970.056,2342,FAMILY DOLLAR INC,30055,391 E 300 N,MORGAN,84050,Convenience Grocery,100,AddressPoints.AddressGrid,R103074,443079.1914,4543970.056
