"osm_id","name","geometry"
"27878199","Walmart Supercenter",c(8887107.18732161, 3434951.55082782)
"27990199","Smith's",c(8895612.8849356, 3439598.99203572)
"28337370","Walmart Supercenter",c(9013033.587045, 3129823.42253832)
"28800309","Sprouts Farmers Market",c(9020743.19016295, 3130225.26777472)
"31929151","Ridley's / Ace Hardware",c(9011289.16505502, 3149067.73198737)
"32817094","Walmart Supercenter",c(8886206.04277355, 3417686.7381824)
"33407400","Walmart Supercenter",c(8910698.26440405, 3277682.08018632)
"34070824","Smith's",c(8893335.39233997, 3417359.57686057)
"34686275","Super Target",c(8942349.11678193, 3359702.21409995)
"35040520","Smiths Marketplace",c(8944314.70239244, 3346538.95840297)
"35569661","Walmart Supercenter",c(8943062.21029262, 3360070.99673113)
"36025823","Walmart Supercenter",c(8969268.0748761, 3289539.18073091)
"36409933","Smith's",c(8929237.75734459, 3661845.14567153)
"37888423","Harmons",c(8922402.04131977, 3276270.15007526)
"37889248","Smith's",c(8923521.04960286, 3266565.30262766)
"38060128","The Fresh Market",c(8920034.9776001, 3414433.56297047)
"38093981","Walmart Supercenter",c(8902919.59244916, 3450522.90460751)
"38452034","Walmart Supercenter",c(8913090.32560471, 3253530.64948388)
"38576088","Walmart Supercenter",c(8927350.81788816, 3245912.9797381)
"38577607","Harmon's",c(8918344.49045851, 3255466.1042035)
"38606137","Macey's",c(9034451.08445528, 3077455.20135286)
"38620962","Walmart Supercenter",c(9035323.48761785, 3089665.76761999)
"38657842","Macey's",c(8925161.48133279, 3276311.03062258)
"39180817","Harmons",c(8936296.45672837, 3261664.90130226)
"39180917","Walmart Supercenter",c(8937410.80087301, 3261149.60311103)
"39284226","Smith's",c(8939178.84913276, 3298271.84735911)
"39904699","Payson Market",c(9014873.68746507, 3049137.53880388)
"39947471","Walmart Supercenter",c(8960976.33050034, 3239480.45693194)
"40016094","Bowman's Market",c(8923314.23852917, 3403142.52899474)
"40047894","Walmart Supercenter",c(8960142.43619216, 3251882.57851184)
"40048940","Target",c(8962503.13226443, 3253397.69374321)
"40263884","The Fresh Market",c(9056101.18722705, 3275623.77706818)
"40479827","Ridley's",c(8907344.42423191, 3481743.4099628)
"40606844","Walmart Supercenter",c(8906871.76651353, 3485208.05799107)
"41452284","Walmart Supercenter",c(8950724.78562029, 3224000.11433157)
"41889519","Rancho Markets",c(8939280.86818356, 3306000.625496)
"41924534","Harmons Brickyard",c(8958235.77172265, 3281670.96338454)
"41975783","Smith's Marketplace",c(8973840.16951274, 3283049.2839934)
"42455568","Smiths Food Center",c(8933988.11323799, 3389751.5467886)
"51359639","Walmart Neighborhood Market",c(8920235.95631774, 3443419.76083641)
"51807950","Natural Foods",c(8907583.04006544, 3476295.28524917)
"51852582","WinCo Foods",c(8905503.06307676, 3475043.3205049)
"53143204","Walmart Supercenter",c(8595345.36714143, 1944341.03296196)
"53436157","Rancho Market",c(8908339.97950935, 3480378.66130868)
"54144857","Smith's",c(8574463.52124685, 1936424.96941336)
"61227205","Valley Market",c(8945781.82880804, 3502041.71383251)
"63514089","Smith's",c(8921916.97875581, 3409914.12020008)
"63940078","Lucky",c(8931772.68341639, 3310095.48160994)
"64880638",NA,c(9016165.27791349, 3138602.12534103)
"78803079","Walmart Supercenter",c(9004446.06210166, 3156757.64987592)
"78883068","Smith's",c(9002761.97723129, 3158516.8441586)
"79583251","Walmart Supercenter",c(8884074.22907193, 3561740.70584886)
"80090413","Macey's",c(8997640.72313534, 3162059.27200815)
"81024470","Walmart Supercenter",c(8576873.0981705, 1920067.58608257)
"81549188","Walmart Supercenter",c(8977278.50558508, 3167519.60269511)
