"osm_id","name","geometry"
"81567413","Maceys",c(8973840.78505638, 3167793.05588229)
"81601436","Kohler's Market",c(8971913.49868614, 3167920.76183997)
"82249848","WinCo Foods",c(9008725.68211108, 3144632.23333616)
"88606917","Walmart Neighborhood Market",c(9024533.24029839, 3127307.82852899)
"92325379","Macey's Food and Drug",c(9014331.37608601, 3144836.60454072)
"95124884","Walmart Supercenter",c(8950874.50018726, 3166817.25914711)
"100025391","Smith's",c(8975897.21997754, 3183823.048433)
"100075606","Walmart Supercenter",c(8991421.48909906, 3180487.49084621)
"100184097","Smith's",c(9017426.81394983, 3138925.00257355)
"106359192","Goulding's Grocery",c(9561676.92729752, 1991254.93271465)
"106359760",NA,c(9562255.86175226, 1990253.57718591)
"107999249","Smith's",c(8918066.48563178, 3207684.80650802)
"108060175","Harmon's",c(8929692.89032164, 3221173.69635431)
"113610151","Honey's Market",c(8887253.51315121, 1937092.21263369)
"113610163","Glazier's Market",c(8885830.27113977, 1937443.00154105)
"123168326","Walmart Supercenter",c(8905867.38197528, 3471385.28832603)
"130513620","City Market",c(9685779.64455156, 2576038.66225882)
"139054377","Whole Foods Market",c(8956514.06229147, 3289739.9430776)
"143647428","Whole Foods Market",c(8951750.86067285, 3301815.57549216)
"148059466","Walmart Supercenter",c(8957053.69025796, 3270053.74594348)
"150871257","Ream's Springville Market",c(9048363.79851671, 3092504.85503502)
"154377478","Smith's",c(8955830.62397734, 3272027.26736455)
"155928403","Smith's",c(8936316.69048906, 3309797.4798259)
"157338869","Walmart Supercenter",c(8930982.46283527, 3207342.18327986)
"167034272","Walmart Supercenter",c(8705033.15844157, 2145708.78144526)
"172543260","Harmons City Creek",c(8947231.15622701, 3305002.11967463)
"172589438","Macey's",c(8962662.38199637, 3271792.20778002)
"172590984","Rancho Markets",c(8955314.3911768, 3280411.03001467)
"195066061","Winco",c(8910541.46475753, 3281989.56960416)
"203524201","Macey's",c(8956526.61457174, 3262309.5957948)
"217708096","Albertsons",c(8564497.45415785, 1940079.6335082)
"222667995","Lee's Market",c(9087193.54901831, 3218786.22328812)
"222708272","Royal's Market",c(9096472.13733806, 2452224.1604272)
"224261301","Smith's",c(8977563.2491743, 3249345.97491989)
"224422910","Walmart Supercenter",c(9077651.70005803, 2806843.47835426)
"224656291","Fillmore Market",c(8884404.41386624, 2638109.86976929)
"225425207","Smith's",c(8955977.4698161, 3217037.06205892)
"226185027","Walmart Supercenter",c(8929383.03432984, 3667265.23123007)
"227191160","Peterson's",c(8940640.44288921, 3215083.63356855)
"229574022","Smith's",c(8954886.22720823, 3289789.75379257)
"230042477","WinCo Foods",c(8945366.7599403, 3252268.7681269)
"230273099","Smith's",c(9087588.99111805, 3225740.01283412)
"230766870","Walmart Neighborhood Market",c(8964921.26667385, 3218355.72081784)
"233404467","Park City Market",c(9055315.64560609, 3276626.17446368)
"238130784","Macey's",c(8930912.97339416, 3245213.70898649)
"247649576","Smith's",c(8887060.14065579, 3570309.26093127)
"259258128","Kent's Market",c(8887197.73711663, 3573957.54783347)
"289050314","BYU Creamery at Wyview",c(9027464.29064781, 3126923.07981694)
"295334438","Mt Nebo Market",c(8996209.07931932, 2926780.68364592)
"299132663","Smith's",c(9043819.5068463, 3297998.27821794)
"306344819","Harmons",c(8940488.88210357, 3228464.34623905)
"306461524","Smith's",c(8940145.02195327, 3229822.67336388)
"310894254","Smith's",c(9027782.79287794, 3118762.71765434)
"316300779","Farmer's Market",c(8663990.89703446, 1980250.50777624)
"324443646","Mike's Food Town",c(8815171.58196919, 2382450.36837247)
"324443682","Lin's Marketplace",c(8712310.20927147, 2155636.26776869)
"324443716","Smith's",c(8712280.12467492, 2150552.43710149)
"324493405","Lin's Fresh Market",c(8654623.37764829, 1967564.84241702)
"325139239",NA,c(9487948.18876297, 2710439.79696988)
"325356787","Blue Mountain Foods",c(9774109.63609392, 2332001.24129422)
"326180967","Clark's Market",c(9746195.86529478, 2233425.58166975)
"326180974","Alco Discount Store",c(9746239.05125283, 2233181.51415169)
"332344022","Sol Foods",c(8743985.57685062, 1978360.69306558)
"341940762","Smith's",c(8913689.81246021, 3244751.19035122)
"347680565","Grocery Outlet",c(9029775.4160974, 3111136.1661192)
"347682601","Grocery Outlet",c(9029708.22729593, 3111959.14248551)
"358562895","Walmart Supercenter",c(8929480.80214615, 3649575.80733574)
"372851759","Kent's Market",c(8840740.60241916, 3641073.65883224)
"391310027","Anaya's Market",c(8936191.89128683, 3309926.73941625)
"397167926","Sprouts Farmers Market",c(8963424.50407329, 3269696.01442469)
"397372031","Walmart Supercenter",c(9602317.94620787, 3252833.70728743)
"420889929","Smith's",c(8963975.31793756, 3231998.18793484)
"431242749","Fresh Market",c(9025863.41807388, 3116976.40306217)
"440143282","Sprouts Farmers Market",c(8927662.63022426, 3220133.66918181)
"442136541","Walmart Supercenter",c(8929693.74802092, 3228455.25932451)
"451104580","Ridley's",c(9070398.49626846, 3223187.81706246)
"466219502","Smiths",c(9014265.61890613, 3042631.27237545)
"466226495","Walmart Supercenter",c(9008485.53792278, 3039660.70377398)
"467783820","Macey's",c(8963849.22999806, 3218448.66884617)
"469619606","Stewarts Grocery Store",c(9247411.19639591, 2763752.60019282)
"470118385","The Island Market",c(8931975.02382464, 3656774.57505219)
"471833035","Harmon's",c(9021471.12814693, 3144488.7568875)
"471922771","Walmart Supercenter",c(8839747.08988781, 3217775.00788385)
"473615900","WinCo",c(8917592.61869999, 3408531.56548599)
"476955866","Smith's",c(8911712.74213273, 3271088.64356359)
"477902077","Smith's",c(8925369.09189915, 3237510.03589825)
"481851115","Harvest Moon Health Foods",c(8909629.17252967, 3415179.56192807)
"483082461","Walmart Supercenter",c(8911709.41306086, 3411914.061754)
"493145548","Macey's",c(8930777.32804119, 3648534.10295499)
"506771353","Smith's",c(8916212.28173279, 3402054.59622487)
"530183539","Emigration Market",c(8960617.2292312, 3296613.09024265)
"531836922","Smith's",c(8885982.03177633, 3427337.06612888)
"537785811","Smith's",c(8917727.16515113, 3218737.42959385)
"544925253","parowan market",c(8770771.6015404, 2218466.28709374)
"547632074","Walmart Neighborhood Market",c(8994522.98037621, 3162781.69639995)
"553841488","Whole Foods Market",c(9042613.89350556, 3299188.86418088)
"553852026","Walmart Supercenter",c(8958743.81681037, 2566959.71494298)
"557854255","Maceys",c(8965473.41278642, 3291431.80487483)
"566877898","Smith's",c(8949835.59400382, 3308097.92164037)
"569365842","Smith's",c(8951449.775949, 3161416.05034501)
"574680325","The Fresh Market",c(8953976.37517097, 3293289.64107178)
"576441637","Harmons",c(8968011.70848817, 3270668.27238702)
"587795432","Smith's",c(8953591.79839622, 3299315.26397256)
"588296645","Qaderi Sweetz N Spicez",c(8948254.90068173, 3291887.06562496)
"595641789","Walmart Neighborhood Market",c(9045802.24346278, 3068955.5236739)
"595951295","Smith's",c(8950791.51254801, 3302274.62289763)
"616844550","Walmart Supercenter",c(8944279.73860843, 3294895.30847406)
"621499669","La Tenoch Market",c(8949896.74273118, 3280227.98977061)
"643010296","Griffin's Grocery & General Merchandise",c(9130021.38760994, 2225255.66372349)
"643010305","Escalante Mercantile & Natural Grocery",c(9128922.92427192, 2225171.16647247)
"659616864","Dan's",c(8967041.59513276, 3254487.24175327)
"662245686","Lin's Market Place",c(8594414.31886541, 1932595.29317003)
"678556835","WinCo Foods",c(8919871.60058331, 3216729.44446145)
"682582564","Smith's",c(9039216.30513581, 3090653.86273149)
"693748157","WinCo Foods",c(8947864.03476406, 3289139.24866285)
"712413697","Harmons",c(8923856.12949862, 3208141.70360469)
"721040615","Sprouts Farmers Market",c(8950761.25538627, 3256525.14303554)
"742745283",NA,c(8939856.82362803, 3227511.87034843)
"776328678","Walmart Neighborhood Market",c(8921427.29176351, 3207937.34330109)
"791619300","Harmons",c(8960900.2695744, 3183867.40803375)
"848767870","Soelbergs",c(8839383.21411438, 3252616.63204151)
"848800028","Home Town Grocery",c(8843927.65210892, 3209421.4106616)
"849039858","Juanita's",c(9073431.71072331, 2861849.74369655)
"879968469","Smith's",c(8941043.53530996, 3339556.47956652)
"903244950","Davis",c(9492336.10480323, 3189966.76102174)
"953173028","Ridley's Family Market",c(8932755.34673011, 3620768.41923729)
"965971772","Miners Trading Post",c(9409113.54173126, 2905693.163154)
"1014522460","Walmart Supercenter",c(9086620.50044325, 3217845.87217416)
"1042796682","Harmons",c(8958781.23421761, 3223398.52998054)
"1051863988","Smith's",c(8938335.92425992, 3251165.08076889)
"1068072714","Walmart Neighborhood Market",c(8893585.88068175, 3273452.06901424)
